test_subject,test_type,test_queue,gold_answer,pretrained_subject,pretrained_answer,pretrained_retrieval_score,pretrained_answer_similarity_top1,pretrained_answer_similarity_best3,v2_subject,v2_answer,v2_retrieval_score,v2_answer_similarity_top1,v2_answer_similarity_best3,best3_delta
API Integration Project,Request,Product Support,Detailed API documentation and code examples will be available shortly.,Request for Assistance with API Integration,"I will review the API documentation and provide the available endpoints, authentication methods, and details on existing integrations via email. We can schedule a call at <tel_num> if further discussion is needed.",0.9135617613792419,0.6723852753639221,0.734063982963562,Beratung für API-Integration erforderlich,"Wir stellen Ihnen eine detaillierte API-Integration-Dokumentation sowie Beispiele und Codeausschnitte zur Verfügung, um die Integration in die Projektmanagementfunktionen zu erleichtern. Bitte lassen Sie uns wissen, ob Sie per E-Mail oder Telefonanruf die weiteren Fragen besprechen möchten. <tel_num>",0.8095521926879883,0.7187274694442749,0.7187274694442749,-0.01533651351928711
Probleme mitlangsamen Ladens,Problem,Customer Service,"Habe E-Mail mit Lösungsvorschlägen für das Langsamigkeitsproblem des Projektverwaltungsdashboards erhalten. Bitte geben Sie mehr Details zu Ihrem Problem. Ich freue mich, bei der Diagnose und Suche nach einer Lösung behilflich zu sein.",Probleme mitlangsamen Ladens Projektmanagement-Plattform,"Langsame Ladezeiten bei der Projektmanagement-Plattform registriert. Bitte geben Sie mehr Details zum Problem an. Ich freue mich, bei der Suche nach einer Lösung helfen zu können.",0.8956745266914368,0.761020302772522,0.761020302772522,Probleme mitlangsamen Ladens Projektmanagement-Plattform,"Langsame Ladezeiten bei der Projektmanagement-Plattform registriert. Bitte geben Sie mehr Details zum Problem an. Ich freue mich, bei der Suche nach einer Lösung helfen zu können.",0.8181288242340088,0.761020302772522,0.761020302772522,0.0
Anfrage an den Support im Gesundheitswesen,Incident,Customer Service,"Wir nehmen die Angelegenheit sehr ernst. Bitte setzen Sie sich umgehend mit <tel_num> in Verbindung, um sofortige Unterstützung zu erhalten und weitere Untersuchungen des Vorfalls durchzuführen.",Unbefugter Zugriff auf medizinische Informationen,"Um das Problem des unbefugten Zugriffs zu beheben, benötigen wir weitere Details zu den verdächtigen Aktivitäten. Wir empfehlen, eine Untersuchung durchzuführen und zusätzliche Sicherheitsmaßnahmen zu implementieren, um weiteren unbefugten Zugriff zu verhindern. Bitte kontaktieren Sie uns so bald wie möglich, um die Angelegenheit zu besprechen und weitere Schritte zu planen.",0.8144052624702454,0.5448597073554993,0.5550822019577026,Verletzung medizinischer Daten durch unbefugten Zugriff,"Sehr geehrte/r [Name],\n\nich möchte Ihnen mitteilen, dass wir einen Vorfall mit Verletzung medizinischer Daten im Krankenhaus festgestellt haben. Ich verstehe die Dringlichkeit der aktuellen Situation und die notwendigen Schutzmaßnahmen für die Patientendaten. Bitte teilen Sie mir zusätzliche Informationen zum Vorfall mit, einschließlich des Datums, der Uhrzeit, wann der Vorfall festgestellt wurde, der Anzahl der betroffenen E-Mail-Konten der Mitarbeiter und welchen spezifischen Systemen sie betroffen waren. Darüber hinaus würde ich mich freuen, ein Telefonat mit Ihnen zu vereinbaren, um die nächsten Schritte zu besprechen.\n\nVielen Dank und mit freundlichen Grüßen",0.6946055889129639,0.5079087018966675,0.588293731212616,0.03321152925491333
Support for Malwarebytes SaaS Integration,Request,Customer Service,"We appreciate your interest in integrating Malwarebytes SaaS into your project management system. Our system offers integration capabilities with various third-party applications to provide comprehensive security solutions. To better understand your specific requirements, we would like to know more about your current project management setup and desired outcomes from the integration. Could you please provide us with detailed information about your current SaaS configuration?",Assistance with Malwarebytes SaaS Integration,"<name> appreciates the interest in integrating Malwarebytes SaaS for project management to enhance the security workflow. The system provides integration capabilities with various third-party applications, offering comprehensive security solutions. To better understand the specific requirements, we would like to provide detailed information on the integration process. Could you please share the details of your current SaaS configuration and the desired outcomes for the integration?",0.983842134475708,0.9302310943603516,0.9302310943603516,Assistance with Malwarebytes SaaS Integration,"<name> appreciates the interest in integrating Malwarebytes SaaS for project management to enhance the security workflow. The system provides integration capabilities with various third-party applications, offering comprehensive security solutions. To better understand the specific requirements, we would like to provide detailed information on the integration process. Could you please share the details of your current SaaS configuration and the desired outcomes for the integration?",0.9705377817153931,0.9302310943603516,0.9302310943603516,0.0
Kurzfristiger unautorisierter Zugriff auf Patientendaten,Incident,Product Support,Bestätigung des Vorfalls wird erbeten. Wir danken für die schnelle Reaktion. Der Vorfall wird untersucht. Kontaktieren Sie <tel_num>. Weitere Maßnahmen zur Verhinderung zukünftiger Vorfälle werden besprochen.,Recent Unauthorized Access to Patient Information,We acknowledge the incident and appreciate your prompt response. Please review the situation and contact <tel_num> to discuss further steps and measures to prevent similar incidents in the future.,0.8921340107917786,0.7884633541107178,0.7884633541107178,Recent Unauthorized Access to Patient Information,We acknowledge the incident and appreciate your prompt response. Please review the situation and contact <tel_num> to discuss further steps and measures to prevent similar incidents in the future.,0.7834648489952087,0.7884633541107178,0.7884633541107178,0.0
Sicherheitslücke in medizinischen Systemen,Problem,Technical Support,"Vielen Dank für Ihre schnelle Handlung. Die Norton Antivirus-Software wurde aktualisiert und das System wurde gescannt. Die Sicherheitslücke wurde behoben. Wir studieren den Vorfall weiter und falls weitere Hilfe erforderlich ist, können Sie sich mit Ihrem Konto <acc_num> und der Telefonnummer <tel_num> in Kontakt setzen.",Sicherheitsproblem bei Medizinischen Systemen,"Vielen Dank für die schnelle Handlung. Norton Antivirus wurde aktualisiert und das System durchsucht, um das Sicherheitsrisiko zu beheben. Falls weitere Unterstützung erforderlich ist, können Sie sich am Telefon <tel_num> wenden oder Ihr <acc_num>-Konto nutzen.",0.9443182945251465,0.9681210517883301,0.9770955443382263,Sicherheitsproblem bei Medizinischen Systemen,"Vielen Dank für die schnelle Handlung. Norton Antivirus wurde aktualisiert und das System durchsucht, um das Sicherheitsrisiko zu beheben. Falls weitere Unterstützung erforderlich ist, können Sie sich am Telefon <tel_num> wenden oder Ihr <acc_num>-Konto nutzen.",0.9119574427604675,0.9681210517883301,0.9770955443382263,0.0
Optimize Data Analytics Tools,Change,IT Support,Review request for optimizing data analysis tools. Please provide more details on the current tools and software to assist in the optimization process.,Enhance Data Analytics Tools,"Please review the request to optimize data analytics tools and software. Kindly provide details on the current tools and software, and any specific areas where assistance is needed in the optimization process.",0.9287158250808716,0.9392504096031189,0.9392504096031189,Enhance Data Analytics Tools,"Please review the request to optimize data analytics tools and software. Kindly provide details on the current tools and software, and any specific areas where assistance is needed in the optimization process.",0.8672094345092773,0.9392504096031189,0.9392504096031189,0.0
Update Request for Advanced Data Analytics Software to Enhance Investment Optimization and Boost Decision-Making,Change,IT Support,Your request to update the data analytics software for better investment optimization and enhanced decision-making has been noted. We need more details on the specific features and functionalities you are looking for. Please provide these details so we can proceed. We are available to discuss further at your convenience.,,"Received request for an update on the data analytics software to enhance investment optimization and improve decision-making capabilities. Proceeding, but need specific details on the features and functionalities you are looking for. Please provide the necessary details so we can be available to discuss further at your convenience.",0.9607181549072266,0.9483839869499207,0.9634292125701904,,"Received request for an update on the data analytics software to enhance investment optimization and improve decision-making capabilities. Proceeding, but need specific details on the features and functionalities you are looking for. Please provide the necessary details so we can be available to discuss further at your convenience.",0.9167928695678711,0.9483839869499207,0.9634292125701904,0.0
Enhancing Investment Tactics with Wolfram Mathematica,Request,Technical Support,"Reviewing your inquiry, please contact <tel_num> to discuss integrating Wolfram Mathematica into your data analytics workflow and receive guidance on optimizing investment strategies.",Enhancing Investment Techniques,Review your inquiry and contact us at <tel_num> to discuss integrating Wolfram Mathematica into your data analytics workflow and receive guidance on optimizing investment strategies.,0.9359044432640076,0.986218273639679,0.986218273639679,Enhancing Investment Techniques,Review your inquiry and contact us at <tel_num> to discuss integrating Wolfram Mathematica into your data analytics workflow and receive guidance on optimizing investment strategies.,0.9344431757926941,0.986218273639679,0.986218273639679,0.0
Unanticipated Billing Mismatch This Month,Incident,Billing and Payments,"Investigating the unanticipated billing mismatch encountered, which might be due to a system error. To assist further, could you please provide details on the discrepancy, including the date, amount, and any related billing questions. We will review this to resolve the issue.",Unanticipated Billing Discrepancy Issue,"We are investigating the unanticipated billing discrepancy you encountered, which might be due to a system error. To assist further, could you please provide details about the discrepancy, including the date, amount, and any relevant billing information. Once we have this information, we will review it to resolve the issue.",0.8836936354637146,0.9361615777015686,0.9361615777015686,Unanticipated Billing Discrepancy Issue,"We are investigating the unanticipated billing discrepancy you encountered, which might be due to a system error. To assist further, could you please provide details about the discrepancy, including the date, amount, and any relevant billing information. Once we have this information, we will review it to resolve the issue.",0.8248288631439209,0.9361615777015686,0.9361615777015686,0.0
