test_subject,test_type,test_queue,gold_answer,pretrained_subject,pretrained_answer,pretrained_retrieval_score,pretrained_answer_similarity_top1,pretrained_answer_similarity_best3,v2_subject,v2_answer,v2_retrieval_score,v2_answer_similarity_top1,v2_answer_similarity_best3,best3_delta,delta
,Incident,Product Support,Please reach out to <tel_num> to discuss the security incident and determine the next steps.,Incident of Hospital Data Breach,Please contact <tel_num> to discuss the hospital data breach incident immediately.,0.8576173186302185,0.6406511664390564,0.6406511664390564,,Please reach out to <tel_num> to discuss the next steps concerning the security incident.,0.706981897354126,0.9829901456832886,0.9829901456832886,0.3423389792442322,0.3423389792442322
Digital Marketing Problem,Problem,Technical Support,Get in touch to discuss the digital marketing challenges and receive support for successful brand development.,Concern Regarding Digital Marketing,"<name> is writing to acknowledge the issue with the digital marketing efforts of the agency. We are sorry to hear about the problems you are experiencing. In order to better understand the issue and provide a suitable solution, could you please provide details about the nature of the problem and any specific error messages or symptoms? This will enable us to investigate the matter and provide an effective solution. If necessary, we would like to schedule a call at a convenient time to discuss the issue in more detail. Please let us know when you are available.",0.902125597000122,0.5934462547302246,0.6742793321609497,Concern Regarding Digital Marketing,"<name> is writing to acknowledge the issue with the digital marketing efforts of the agency. We are sorry to hear about the problems you are experiencing. In order to better understand the issue and provide a suitable solution, could you please provide details about the nature of the problem and any specific error messages or symptoms? This will enable us to investigate the matter and provide an effective solution. If necessary, we would like to schedule a call at a convenient time to discuss the issue in more detail. Please let us know when you are available.",0.8049304485321045,0.5934462547302246,0.996751070022583,0.3224717378616333,0.3224717378616333
Nötige Sicherheitsunterstützung,Problem,IT Support,"<name> Service Desk nimmt Sicherheitsverstöße ernst und benötigt zusätzliche Informationen zur aktuellen Konfiguration. Bitte bereitstellen Sie mehr Details zur vermuteten Schwachstelle und den Fehlern, die Sie begegnet sind, damit unser Sicherheitsteam die Angelegenheit weitreiben kann.",Technische Sorgemeldung,"Sehr geehrte/r [Name],\n\nich bestätige, dass Sie ein technisches Problem gemeldet haben, nämlich eine Verletzung des medizinischen Datensystems aufgrund veralteter Sicherheitsprotokolle. Ich verstehe die Notwendigkeit, die Patientendaten der Krankenhauses IT-Infrastruktur zu schützen. Um Ihnen besser zu helfen, bitte ich Sie, zusätzliche Informationen zu Ihrem aktuellen Systemstatus, den durchgeführten Software-Updates und der Firewalls-Konfiguration zu geben. Darüber hinaus wäre es hilfreich, wenn Sie spezifische Schwachstellen berichten könnten. Ich würde gerne ein Telefonat vereinbaren, um dies zu klären.",0.9137156009674072,0.6407764554023743,0.645122766494751,Nötige Unterstützung für Sicherheitsmaßnahmen,"<name> Service Desk nimmt Sicherheitsverstöße ernst. Um Ihnen besser zu helfen, benötigen wir zusätzliche Informationen zur aktuellen Konfiguration. Bitte melden Sie alle vermuteten Mängel und Git-Ansible-Fehlermeldungen, die an die Sicherheitsabteilung weitergeleitet werden können, um eine genaue Analyse durchzuführen.",0.7989820837974548,0.9654275178909302,0.9654275178909302,0.3203047513961792,0.3203047513961792
Security Concern at Hospital,Problem,Technical Support,Please investigate by contacting <tel_num> for immediate assistance.,Detected Unauthorized Access on Hospital Network,"Dear [Name], thank you for reporting the unauthorized access attempt on the hospital's network. We appreciate the measures taken to strengthen firewall settings and conduct staff training. Could you please provide details on the incident, including the date and time it occurred? I would like to schedule a call at [Tel_num] to discuss the matter further and will be available at your earliest convenience.",0.8474081158638,0.5463042855262756,0.5684353113174438,Concern About Network Security,We appreciate the update and review to prevent future occurrences. Please let us know if you need further assistance with the systems security issue.,0.6952959895133972,0.4886614680290222,0.8863083124160767,0.3178730010986328,0.3178730010986328
Report on Unplanned System Downtime,Incident,IT Support,We have received your report on the system outage and are ready to assist you. Could you please provide the exact error message you are seeing and the version of the software that was recently installed? This information will help us better assist with troubleshooting the issue.,,"Dear [Name], we have received your email regarding the system downtime during data analytics processing. We will investigate this matter urgently. Please allow us to review the details and provide a prompt response with a plan of action to rectify the situation as soon as possible.",0.8082013130187988,0.636446475982666,0.636446475982666,Report on System Outages,"Thank you for your system outage report. Could you please provide the exact error message and the version of the software, especially the recent updates installed, to better assist with the troubleshooting process?",0.6757073402404785,0.9467458724975586,0.9467458724975586,0.3102993965148926,0.3102993965148926
Data Issue,Problem,Technical Support,I am investigating the data issue with the investment models. Could you please provide additional details regarding the imprecise analysis results? Would it be convenient to discuss this over a call? Is today at <tel_num> a suitable time for a call?,Finance Support Team,We apologize for the issue. Please provide additional details regarding the faulty data models so we can offer further assistance in resolving the investment forecast problems.,0.7982404232025146,0.5143166184425354,0.6002804040908813,Error in Investment Insights,We apologize for the mistake. Kindly share additional details so we can investigate and resolve the issue.,0.7135046720504761,0.192882090806961,0.898992121219635,0.2987117171287536,0.29871171712875366
Challenge with Delayed Data Processing,Problem,Product Support,"I would be happy to help resolve the slow data processing issue. To better understand the problem, could you please provide details on the current system configuration and the troubleshooting steps you have already taken? We can schedule a call at your convenience to discuss and identify the root cause and potential solutions.",Issue with Data Processing System,"We received your email regarding the issues with the data processing system and are here to assist. To better understand the problem, please provide more details about any error messages encountered, along with specifications of the software and hardware systems in use. We are happy to schedule a call at a convenient time to discuss further troubleshooting steps and potential solutions. Would <tel_num> be available at your preferred time? Please let us know a suitable time to contact you so we can help resolve the issue associated with account <acc_num>.",0.918654441833496,0.6985801458358765,0.6985801458358765,Problem with Sluggish Data Processing,"I would be happy to help resolve the issue with sluggish data processing. To better understand the problem, could you please provide details about your current system configuration and the troubleshooting steps you have already taken? Additionally, it would be convenient to schedule a call to discuss and identify the root cause and potential solutions.",0.7877054214477539,0.9134100675582886,0.9957481622695924,0.2971680164337158,0.29716801643371593
Facing Lag and Crashes in Project Management Software,Incident,Product Support,"Hello, we are pleased to assist you with the issues you are experiencing with your project management platform. To better understand the problem, could you please provide details on your current server infrastructure and user load? We would like to schedule a call at your convenience at <tel_num> to discuss potential solutions, including upgrading server infrastructure and implementing load management strategies. If you are available, we can discuss this further. We will also review your account <acc_num> to identify factors contributing to the lag and crashes and provide recommendations for the next steps.",Performance Challenge in SaaS Project Management System Today,"We are reviewing the performance issue with the SaaS platform. To assist, please provide details of any error messages and server logs. We will schedule a call at <tel_num> to discuss the next steps for resolution.",0.8846980333328247,0.6209231615066528,0.6832326650619507,Encountering Delays and Crashes in Project Management Software,"{name}, we are glad to assist you with the issues you are experiencing with the project management platform. To better understand the problem, could you please provide details on the current server infrastructure and the user load? We would like to schedule a call at {tel_num} to discuss potential solutions, such as upgrading the server or implementing load management strategies. Would this be convenient for you? We will also review your account {acc_num} to identify the factors contributing to the delays and crashes and provide recommendations for the next steps.",0.8099350333213806,0.9556353092193604,0.9556353092193604,0.2724026441574096,0.27240264415740967
Auffällige Probleme bei vorübergehendem Zugriffsschaden auf die Plattform gemeldet,Incident,Technical Support,"Vielen Dank für Ihre Geduld und Ihre Unterstützung bei der Behebung des Problems. Falls die Probleme weiterhin auftreten, bitten wir Sie um weitere Informationen, wie beispielsweise die Fehlermeldung und den genauen Zeitpunkt des Auftretens. Das technische Team wird diese Informationen weiterverfolgen, um zusätzliche Unterstützung anzubieten. Wir vereinbaren einen Termin für eine weitere Diskussion zum Thema.",Probleme mit Serverausfällen,"Sehr geehrte/r [Name],\n\nvielen Dank für Ihre Kontaktaufnahme bezüglich der Serverausfälle. Ich verstehe, dass Benutzer in Spitzenzeiten vorübergehende Störungen erleben. Sie haben bereits erste Maßnahmen unternommen, um das Problem zu beheben, insbesondere durch Neustart der betroffenen Dienste und der Datenbankinstanz mit erhöhtem Serververbrauch, jedoch bestehen die Probleme weiterhin.\n\nUm die Ursachen des Problems besser zu identifizieren und die Lösung umzusetzen, um zukünftige Ausfälle zu vermeiden, würde ich Ihnen gerne zusätzliche Informationen zur aktuellen Serverkonfiguration und den genauen Fehlermeldungen anbieten. Bitte geben Sie mir die notwendigen Details, damit wir das Problem systematisch lösen können.",0.8522799611091614,0.6345196962356567,0.6942170858383179,Periodische Anmeldeprobleme bei der Projektmanagement-Plattform,"Wir möchten Ihre Unterstützung anerkennen. Falls die Probleme weiterhin bestehen, bitten wir Sie, weitere Details zur Fehlernachricht und zum Zeitpunkt ihres Auftretens bereitzustellen. Das technische Team wird Ihre Anfrage weiter bearbeiten und Ihnen zusätzliche Unterstützung anbieten. Wenn Sie möchten, können wir einen Termin vereinbaren, um das Problem zu besprechen.",0.6891660690307617,0.9509406089782716,0.9509406089782716,0.2567235231399536,0.2567235231399537
Problems with Digital Marketing,Incident,Technical Support,Please investigate the performance issues in digital marketing and provide detailed information for a thorough review.,Issues with Digital Marketing Strategy Disruptions,We apologize for the disruptions in your digital marketing strategies. Please provide more details about the issues you are experiencing so we can assist you further.,0.8627724647521973,0.6215741634368896,0.657099723815918,Issues Affecting Digital Marketing Strategies,We apologize for the disruptions to your digital marketing strategies. Please provide more details about the issues you are experiencing so we can assist you further.,0.7173144221305847,0.6093927025794983,0.8818475008010864,0.2247477769851684,0.22474777698516846
Server Timing,Problem,Product Support,Currently examining the server overload problem and will provide an update on the SaaS platform's status shortly.,Unexpected Downtime on SaaS Platform,"Received your email regarding the unexpected downtime on the SaaS platform. We need more details and will look into the recent deployment and server logs. To discuss potential solutions, please let us know a convenient time for a call.",0.8879459500312805,0.6700022220611572,0.7374516725540161,Unexpected Downtime on SaaS Platform,"Received your email regarding the unexpected downtime on the SaaS platform. We need more details and will look into the recent deployment and server logs. To discuss potential solutions, please let us know a convenient time for a call.",0.7893702983856201,0.6700022220611572,0.955588698387146,0.2181370258331298,0.21813702583312988
Concern Regarding Investment Data Analytics Issues,Incident,Technical Support,"We apologize for the issues with investment data analytics. Our support team will investigate the problem as soon as possible to provide assistance. Please provide more details about the errors and symptoms observed. By working together, we can resolve the issue and ensure that timely analytical insights are provided. Thank you for your patience and we will contact you soon.",Concern Regarding Recent Delays in Data Processing for Investment Analytics,"Acknowledging the issue of recent delays in data processing for investment analytics. We understand the urgency to resolve this as soon as possible to minimize disruptions. To better assist you, we need more details on the recent system updates and any specific error messages received. Could you please provide us with the details of the updates and any errors? Additionally, we propose scheduling a call to discuss the issue and work together to find a solution.",0.9223822951316832,0.7390720844268799,0.767330527305603,Concerns Regarding Investment Data Analytics,We apologize for the issue with investment data analytics. Our support team will investigate the problem and provide assistance as soon as possible. Please provide any details on error messages or symptoms you are experiencing. This information will help us work towards resolving the issue and getting your analytics running smoothly to ensure timely investment insights. We appreciate your patience and will be in touch soon.,0.790797233581543,0.974971890449524,0.974971890449524,0.2076413631439209,0.207641363143921
